Sample1	Sample2	Genome	Noise	Resolution	Score
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	1	1000000	0.983662041747
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	5	40000	0.495776582519
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	5	200000	0.903307754791
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	5	1000000	0.983648666012
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	10	40000	0.494744771441
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	10	200000	0.903069859119
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	10	1000000	0.983607307412
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	20	40000	0.492634545198
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	20	200000	0.902584111464
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	20	1000000	0.983549004963
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	50	40000	0.48602862334
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	50	200000	0.900728449691
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	50	1000000	0.983331137845
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	100	40000	0.474470533888
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	100	200000	0.897384212757
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	100	1000000	0.982901373413
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	200	40000	0.448450696726
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	200	200000	0.889027134968
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	200	1000000	0.982002323333
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	350	40000	0.401300418474
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	350	200000	0.870621417117
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	350	1000000	0.979235170751
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	500	40000	0.340139893339
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	500	200000	0.838855330575
