Sample1	Sample2	Genome	Coverage	Resolution	Score
GSE48592_hg38_GM12878_HindIII_Rep1	GSE48592_hg38_GM12878_HindIII_Rep2	hg38	40000000	40000	0.618270734615
GSE48592_hg38_GM12878_HindIII_Rep1	GSE48592_hg38_GM12878_HindIII_Rep2	hg38	40000000	200000	0.959069871209
GSE48592_hg38_GM12878_HindIII_Rep1	GSE48592_hg38_GM12878_HindIII_Rep2	hg38	40000000	1000000	0.993562357136
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	0	40000	0.696181921674
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	0	200000	0.951202200322
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	0	1000000	0.975619819486
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	1000000	40000	0.0334135895006
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	1000000	200000	0.296994608309
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	1000000	1000000	0.89437001579
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	2000000	40000	0.0738541245169
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	2000000	200000	0.572431218328
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	2000000	1000000	0.942962103135
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	5000000	40000	0.238569738716
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	5000000	200000	0.831941451248
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	5000000	1000000	0.965970204135
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	10000000	40000	0.474228668742
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	10000000	200000	0.916414842641
GSE49017_mm10_AST_HindIII_Rep1	GSE49017_mm10_AST_HindIII_Rep2	mm10	10000000	1000000	0.972950606355
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	0	40000	0.304310957232
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	0	200000	0.846984910858
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	0	1000000	0.977774555974
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	1000000	40000	0.0123359279805
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	1000000	200000	0.0830764816697
