Sample	Genome	Coverage	Resolution	Score
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	2000000	1000000	0.0371851824134
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	5000000	40000	0.00186357502773
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	5000000	200000	0.0162066611188
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	5000000	1000000	0.0599978104851
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	40000	0.00300373028565
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	200000	0.0231042967221
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	1000000	0.0649849047187
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1000000	40000	0.00013565020574
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1000000	200000	0.00153833956932
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1000000	1000000	0.0190942777922
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	2000000	40000	0.000355804829769
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	2000000	200000	0.00442181652702
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	2000000	1000000	0.0337760499212
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5000000	40000	0.00149918346163
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5000000	200000	0.0144122400707
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5000000	1000000	0.0558724378589
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	40000	0.0270718910494
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	200000	0.0899506135046
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	1000000	0.124661140499
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	1000000	40000	0.00028253733981
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	1000000	200000	0.00313226123955
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	1000000	1000000	0.0290149284522
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	2000000	40000	0.000737999435203
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	2000000	200000	0.00837255749314
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	2000000	1000000	0.0508921357337
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	5000000	40000	0.0028985245643
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	5000000	200000	0.025059809744
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	5000000	1000000	0.0834479539485
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	10000000	40000	0.00777165473321
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	10000000	200000	0.0471925338794
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	10000000	1000000	0.104625360695
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	20000000	40000	0.01838805465
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	20000000	200000	0.0750254086991
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	20000000	1000000	0.119564947017
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	40000	0.0161666685287
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	200000	0.0694328589372
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	1000000	0.111741002278
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1000000	40000	0.000248639448346
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1000000	200000	0.00293568998761
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1000000	1000000	0.0282332076527
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	2000000	40000	0.000679124535207
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	2000000	200000	0.00794894399208
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	2000000	1000000	0.0492150803974
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5000000	40000	0.00267394683886
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5000000	200000	0.02388683612
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5000000	1000000	0.0796269704597
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10000000	40000	0.00719462364713
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10000000	200000	0.045014267162
