Sample	Genome	Noise	Resolution	Score
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	200	40000	0.00236397856623
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	200	200000	0.0192519597663
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	200	1000000	0.0633118006913
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	350	40000	0.00171565163294
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	350	200000	0.0152239371028
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	350	1000000	0.0584384878981
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	500	40000	0.00114667660174
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	500	200000	0.011076053008
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	500	1000000	0.0519310620304
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	750	40000	0.000399682716683
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	750	200000	0.00437675546487
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	750	1000000	0.0336209896696
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	40000	0.00301065136638
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	200000	0.0231314482981
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	1000000	0.0649362856517
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1	40000	0.00300530339812
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1	200000	0.0231099644
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1	1000000	0.0649097066794
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5	40000	0.00298335085038
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5	200000	0.0230296717271
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5	1000000	0.0648090051093
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	10	40000	0.00295983888198
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	10	200000	0.0229130297557
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	10	1000000	0.0647059134784
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	20	40000	0.00291234819812
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	20	200000	0.0227130000808
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	20	1000000	0.0644819050458
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	50	40000	0.00276907495985
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	50	200000	0.0220188881399
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	50	1000000	0.0639324914479
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	100	40000	0.00254780981759
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	100	200000	0.0208417098095
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	100	1000000	0.0627735346918
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	200	40000	0.00212395267728
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	200	200000	0.0184560857926
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	200	1000000	0.0603600285803
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	350	40000	0.00155830344142
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	350	200000	0.0146224786714
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	350	1000000	0.0557428974319
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	500	40000	0.001028351268
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	500	200000	0.0106956131136
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	500	1000000	0.0498432399079
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	750	40000	0.000359059781099
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	750	200000	0.00426013921149
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	750	1000000	0.0328218186852
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	40000	0.0271377170869
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	200000	0.0900755771604
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	1000000	0.124526849388
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	1	40000	0.0271115063646
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	1	200000	0.0900335268732
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	1	1000000	0.124520642509
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	5	40000	0.0270043742572
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	5	200000	0.0898819254982
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	5	1000000	0.124473012633
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	10	40000	0.0268763526281
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	10	200000	0.0896777606225
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	10	1000000	0.124404696465
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	20	40000	0.0266082173214
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	20	200000	0.0892691148346
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	20	1000000	0.124212720648
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	50	40000	0.025795790535
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	50	200000	0.0880530269153
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	50	1000000	0.12388822897
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	100	40000	0.0244144205144
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	100	200000	0.0858703834984
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	100	1000000	0.123225395372
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	200	40000	0.0215558470824
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	200	200000	0.0811091486022
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	200	1000000	0.121488725276
